,Dataset,Number of Keypoints,Detector/Descriptor
0,Industrial_Estate,90.36283185840708,SURF
1,Industrial_Estate,53.8938053097345,SURF
2,Industrial_Estate,81.96460176991152,SURF
3,Industrial_Estate,119.858407079646,SURF
4,Industrial_Estate,96.98230088495576,SURF
5,Industrial_Estate,71.73451327433628,SURF
6,Industrial_Estate,217.06194690265488,SURF
7,Industrial_Estate,666.3628318584069,SURF
8,Industrial_Estate,878.4247787610618,SURF
9,Industrial_Estate,960.6106194690267,SURF
10,Industrial_Estate,877.2831858407078,SURF
11,Industrial_Estate,585.6460176991152,SURF
12,Industrial_Estate,523.7522123893805,SURF
13,Industrial_Estate,535.7345132743363,SURF
14,Industrial_Estate,105.96460176991152,SURF
15,Industrial_Estate,230.11504424778758,SURF
16,Industrial_Estate,443.2123893805309,SURF
17,Industrial_Estate,725.4955752212388,SURF
18,Industrial_Estate,762.7699115044247,SURF
19,Industrial_Estate,813.0973451327434,SURF
20,Industrial_Estate,425.7610619469026,SURF
21,Industrial_Estate,75.07964601769913,SURF
22,Industrial_Estate,58.48672566371681,SURF
23,Industrial_Estate,77.52212389380531,SURF
24,Industrial_Estate,115.3274336283186,SURF
25,Industrial_Estate,55.035398230088504,SURF
26,Industrial_Estate,45.176991150442475,SURF
27,Industrial_Estate,109.79646017699116,SURF
28,Industrial_Estate,70.4159292035398,SURF
29,Industrial_Estate,79.57522123893807,SURF
30,Industrial_Estate,63.1504424778761,SURF
31,Industrial_Estate,65.84955752212389,SURF
32,Industrial_Estate,65.93805309734513,SURF
33,Industrial_Estate,77.77876106194691,SURF
34,Industrial_Estate,93.57522123893807,SURF
35,Industrial_Estate,83.65486725663717,SURF
36,Industrial_Estate,81.93805309734512,SURF
37,Industrial_Estate,114.141592920354,SURF
38,Industrial_Estate,355.5840707964602,SURF
39,Industrial_Estate,457.4424778761062,SURF
40,Industrial_Estate,445.7610619469026,SURF
41,Industrial_Estate,431.3716814159292,SURF
42,Industrial_Estate,182.89380530973446,SURF
43,Industrial_Estate,133.26548672566372,SURF
44,Industrial_Estate,229.6194690265487,SURF
45,Industrial_Estate,324.7522123893805,SURF
46,Industrial_Estate,459.4513274336283,SURF
47,Industrial_Estate,525.9734513274336,SURF
48,Industrial_Estate,353.22123893805315,SURF
49,Industrial_Estate,131.1238938053097,SURF
50,Industrial_Estate,105.4867256637168,SURF
51,Industrial_Estate,126.44247787610621,SURF
52,Industrial_Estate,84.6725663716814,SURF
53,Industrial_Estate,70.82300884955751,SURF
54,Industrial_Estate,86.43362831858406,SURF
55,Industrial_Estate,100.45132743362831,SURF
56,Industrial_Estate,106.24778761061948,SURF
57,Industrial_Estate,79.97345132743362,SURF
58,Industrial_Estate,85.53982300884954,SURF
59,Industrial_Estate,88.23893805309734,SURF
60,Industrial_Estate,81.11504424778761,SURF
61,Industrial_Estate,50.8141592920354,SURF
62,Industrial_Estate,46.30973451327434,SURF
63,Industrial_Estate,94.27433628318585,SURF
64,Industrial_Estate,107.03539823008848,SURF
65,Industrial_Estate,78.24778761061947,SURF
66,Industrial_Estate,94.03539823008848,SURF
67,Industrial_Estate,188.19469026548668,SURF
68,Industrial_Estate,684.4690265486727,SURF
69,Industrial_Estate,681.9911504424779,SURF
70,Industrial_Estate,896.9823008849557,SURF
71,Industrial_Estate,603.1592920353983,SURF
72,Industrial_Estate,814.6106194690267,SURF
73,Industrial_Estate,741.6283185840707,SURF
74,Industrial_Estate,981.2566371681417,SURF
