,Unnamed: 0,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score,ParameterName,Parameter
0,0,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.0759493670886076,37.446000000000005,-36.446000000000005,37.446000000000005,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
1,1,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.2911392405063291,143.543,-142.543,143.543,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
2,2,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.6835443037974683,337.014,-336.01400000000007,337.01400000000007,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
3,3,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.4556962025316455,224.676,-223.676,224.676,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
4,4,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.0886075949367088,43.687000000000005,-42.687000000000005,43.687000000000005,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
5,5,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.3291139240506329,162.266,-161.266,162.266,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
6,6,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.1645569620253164,81.133,-80.133,81.133,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
7,7,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.2658227848101265,131.061,-130.061,131.061,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
8,8,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.8481012658227848,418.147,-417.1470000000001,418.147,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
9,9,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.3417721518987341,168.507,-167.507,168.507,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
10,10,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.2278481012658227,112.338,-111.338,112.338,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
11,11,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.4936708860759494,243.39900000000003,-242.39900000000003,243.39900000000003,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
12,12,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.9620253164556962,474.316,-473.3160000000001,474.3160000000001,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
13,13,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.3164556962025316,156.02500000000003,-155.02500000000003,156.02500000000003,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
14,14,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.2531645569620253,124.82000000000002,-123.82000000000002,124.82000000000002,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
15,15,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.1392405063291139,68.651,-67.651,68.651,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
16,16,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.1645569620253164,81.133,-80.133,81.133,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
17,17,Industrial_Estate,0.002030265354262,ROOTSIFT,0.4936708860759494,243.1558441558441,-242.1558441558441,243.1558441558441,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
18,18,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.3164556962025316,156.02500000000003,-155.02500000000003,156.02500000000003,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
19,19,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.1518987341772152,74.89200000000001,-73.89200000000001,74.89200000000001,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
20,20,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.0886075949367088,43.687000000000005,-42.687000000000005,43.687000000000005,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
21,21,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.2278481012658227,112.338,-111.338,112.338,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
22,22,Industrial_Estate,0.0020282371171448,ROOTSIFT,1.1012658227848102,542.9670000000001,-541.9670000000001,542.9670000000001,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
23,23,Industrial_Estate,0.0020322935913791,ROOTSIFT,0.2531645569620253,124.57085828343314,-123.57085828343314,124.57085828343315,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
24,24,Industrial_Estate,0.002030265354262,ROOTSIFT,0.4936708860759494,243.1558441558441,-242.1558441558441,243.1558441558441,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
25,25,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.620253164556962,305.809,-304.809,305.809,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
26,26,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.4683544303797468,230.91700000000003,-229.917,230.917,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
27,27,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.1518987341772152,74.89200000000001,-73.89200000000001,74.89200000000001,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
28,28,Industrial_Estate,0.002030265354262,ROOTSIFT,1.2151898734177216,598.5374625374625,-597.5374625374625,598.5374625374625,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
29,29,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.1518987341772152,74.89200000000001,-73.89200000000001,74.89200000000001,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
30,30,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.3291139240506329,162.266,-161.266,162.266,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
31,31,Industrial_Estate,0.0020282371171448,ROOTSIFT,2.759493670886076,1360.5380000000002,-1359.5380000000002,1360.5380000000002,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
32,32,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.2025316455696202,99.856,-98.856,99.856,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
33,33,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.2278481012658227,112.338,-111.338,112.338,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
34,34,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.4050632911392405,199.712,-198.712,199.712,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
35,35,Industrial_Estate,0.002030265354262,ROOTSIFT,0.569620253164557,280.56443556443554,-279.5644355644356,280.56443556443554,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
36,36,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.4050632911392405,199.712,-198.712,199.712,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
37,37,Industrial_Estate,0.0020282371171448,ROOTSIFT,1.3924050632911391,686.5100000000001,-685.5100000000001,686.5100000000001,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
38,38,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.4936708860759494,243.39900000000003,-242.39900000000003,243.39900000000003,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
39,39,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.7721518987341772,380.701,-379.7010000000001,380.7010000000001,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
40,40,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.2151898734177215,106.097,-105.097,106.097,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
41,41,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.2784810126582278,137.302,-136.302,137.302,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
42,42,Industrial_Estate,0.0020282371171448,ROOTSIFT,0.1012658227848101,49.928,-48.928,49.928,A,"ROOTSIFT(nfeatures=5000, contrastThreshold =0.09, edgeThreshold=8)"
