,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score,ParameterName,Parameter
0,Industrial_Estate,101.26582278481013,ROOTSIFT,0.2278481012658227,0.00225,0.99775,0.0022499999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
1,Industrial_Estate,101.26582278481013,ROOTSIFT,0.3924050632911392,0.003875,0.996125,0.0038749999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
2,Industrial_Estate,101.26582278481013,ROOTSIFT,1.5822784810126582,0.015625,0.984375,0.015625,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
3,Industrial_Estate,101.26582278481013,ROOTSIFT,0.6708860759493671,0.006625,0.993375,0.0066249999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
4,Industrial_Estate,101.26582278481013,ROOTSIFT,0.8354430379746836,0.00825,0.99175,0.0082499999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
5,Industrial_Estate,101.26582278481013,ROOTSIFT,1.1012658227848102,0.010875,0.989125,0.0108749999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
6,Industrial_Estate,101.27848101265825,ROOTSIFT,1.4050632911392404,0.0138732658417697,0.9861267341582302,0.0138732658417698,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
7,Industrial_Estate,101.26582278481013,ROOTSIFT,0.3417721518987341,0.003375,0.996625,0.003375,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
8,Industrial_Estate,101.26582278481013,ROOTSIFT,2.4430379746835444,0.024125,0.975875,0.024125,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
9,Industrial_Estate,101.26582278481013,ROOTSIFT,0.569620253164557,0.005625,0.994375,0.0056249999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
10,Industrial_Estate,101.26582278481013,ROOTSIFT,0.5316455696202531,0.0052499999999999,0.99475,0.0052499999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
11,Industrial_Estate,101.26582278481013,ROOTSIFT,1.5569620253164558,0.015375,0.984625,0.0153749999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
12,Industrial_Estate,101.26582278481013,ROOTSIFT,3.9367088607594938,0.038875,0.961125,0.038875,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
13,Industrial_Estate,101.26582278481013,ROOTSIFT,1.0506329113924051,0.010375,0.989625,0.0103749999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
14,Industrial_Estate,101.26582278481013,ROOTSIFT,9.481012658227847,0.093625,0.906375,0.093625,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
15,Industrial_Estate,101.26582278481013,ROOTSIFT,1.0379746835443038,0.01025,0.98975,0.0102499999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
16,Industrial_Estate,101.26582278481013,ROOTSIFT,2.088607594936709,0.020625,0.979375,0.020625,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
17,Industrial_Estate,101.26582278481013,ROOTSIFT,1.0253164556962024,0.0101249999999999,0.989875,0.0101249999999999,A,"ROOTSIFT(nfeatures=8000, contrastThreshold =0.08, edgeThreshold=8)"
