,Dataset,Number of Keypoints,Detector/Descriptor
0,Industrial_Estate,225.9646017699115,BRISK
1,Industrial_Estate,129.1769911504425,BRISK
2,Industrial_Estate,196.61061946902655,BRISK
3,Industrial_Estate,416.8141592920354,BRISK
4,Industrial_Estate,312.1946902654867,BRISK
5,Industrial_Estate,241.13274336283186,BRISK
6,Industrial_Estate,623.3982300884956,BRISK
7,Industrial_Estate,2307.9469026548672,BRISK
8,Industrial_Estate,2885.079646017699,BRISK
9,Industrial_Estate,2990.424778761062,BRISK
10,Industrial_Estate,2611.2743362831857,BRISK
11,Industrial_Estate,1597.0530973451328,BRISK
12,Industrial_Estate,1533.9380530973451,BRISK
13,Industrial_Estate,1487.5221238938052,BRISK
14,Industrial_Estate,195.87610619469027,BRISK
15,Industrial_Estate,535.1061946902655,BRISK
16,Industrial_Estate,1308.132743362832,BRISK
17,Industrial_Estate,2429.141592920354,BRISK
18,Industrial_Estate,2867.663716814159,BRISK
19,Industrial_Estate,2665.9380530973453,BRISK
20,Industrial_Estate,1418.3362831858408,BRISK
21,Industrial_Estate,357.4778761061947,BRISK
22,Industrial_Estate,169.38938053097345,BRISK
23,Industrial_Estate,275.46902654867256,BRISK
24,Industrial_Estate,426.75221238938053,BRISK
25,Industrial_Estate,706.070796460177,BRISK
26,Industrial_Estate,275.2212389380531,BRISK
27,Industrial_Estate,223.8230088495575,BRISK
28,Industrial_Estate,287.94690265486724,BRISK
29,Industrial_Estate,247.24778761061947,BRISK
30,Industrial_Estate,315.11504424778764,BRISK
31,Industrial_Estate,204.1150442477876,BRISK
32,Industrial_Estate,191.75221238938053,BRISK
33,Industrial_Estate,169.2566371681416,BRISK
34,Industrial_Estate,313.49557522123894,BRISK
35,Industrial_Estate,182.97345132743362,BRISK
36,Industrial_Estate,320.7345132743363,BRISK
37,Industrial_Estate,398.0353982300885,BRISK
38,Industrial_Estate,830.4601769911504,BRISK
39,Industrial_Estate,1322.1946902654868,BRISK
40,Industrial_Estate,1208.7610619469026,BRISK
41,Industrial_Estate,1596.6106194690265,BRISK
42,Industrial_Estate,495.46902654867256,BRISK
43,Industrial_Estate,325.21238938053096,BRISK
44,Industrial_Estate,583.3982300884956,BRISK
45,Industrial_Estate,1066.7345132743362,BRISK
46,Industrial_Estate,1631.9380530973451,BRISK
47,Industrial_Estate,1539.2212389380531,BRISK
48,Industrial_Estate,869.3539823008849,BRISK
49,Industrial_Estate,373.92035398230087,BRISK
50,Industrial_Estate,554.0265486725664,BRISK
51,Industrial_Estate,657.2831858407079,BRISK
52,Industrial_Estate,327.7433628318584,BRISK
53,Industrial_Estate,199.3362831858407,BRISK
54,Industrial_Estate,347.3893805309734,BRISK
55,Industrial_Estate,252.60176991150442,BRISK
56,Industrial_Estate,524.8849557522124,BRISK
57,Industrial_Estate,387.13274336283183,BRISK
58,Industrial_Estate,571.2300884955753,BRISK
59,Industrial_Estate,356.5221238938053,BRISK
60,Industrial_Estate,238.52212389380531,BRISK
61,Industrial_Estate,113.2566371681416,BRISK
62,Industrial_Estate,87.01769911504425,BRISK
63,Industrial_Estate,233.15929203539824,BRISK
64,Industrial_Estate,366.1504424778761,BRISK
65,Industrial_Estate,219.27433628318585,BRISK
66,Industrial_Estate,571.4247787610619,BRISK
67,Industrial_Estate,515.9646017699115,BRISK
68,Industrial_Estate,2150.973451327434,BRISK
69,Industrial_Estate,1640.646017699115,BRISK
70,Industrial_Estate,2694.353982300885,BRISK
71,Industrial_Estate,811.6017699115044,BRISK
72,Industrial_Estate,2556.991150442478,BRISK
73,Industrial_Estate,2303.3893805309735,BRISK
74,Industrial_Estate,3070.522123893805,BRISK
75,Industrial_Estate,2857.1238938053098,BRISK
76,Industrial_Estate,2416.592920353982,BRISK
77,Industrial_Estate,2310.920353982301,BRISK
78,Industrial_Estate,2164.83185840708,BRISK
79,Industrial_Estate,1159.6017699115043,BRISK
80,Industrial_Estate,668.5929203539823,BRISK
81,Industrial_Estate,95.929203539823,BRISK
82,Industrial_Estate,238.92920353982302,BRISK
83,Industrial_Estate,264.3274336283186,BRISK
84,Industrial_Estate,225.2566371681416,BRISK
85,Industrial_Estate,136.83185840707964,BRISK
86,Industrial_Estate,136.87610619469027,BRISK
87,Industrial_Estate,202.67256637168143,BRISK
88,Industrial_Estate,619.4867256637168,BRISK
89,Industrial_Estate,832.5752212389381,BRISK
90,Industrial_Estate,340.0088495575221,BRISK
91,Industrial_Estate,647.0176991150443,BRISK
92,Industrial_Estate,714.3982300884956,BRISK
93,Industrial_Estate,963.0796460176991,BRISK
94,Industrial_Estate,424.5575221238938,BRISK
95,Industrial_Estate,485.283185840708,BRISK
96,Industrial_Estate,85.07964601769912,BRISK
97,Industrial_Estate,420.46902654867256,BRISK
98,Industrial_Estate,509.3893805309734,BRISK
99,Industrial_Estate,547.0,BRISK
100,Industrial_Estate,1040.1769911504425,BRISK
101,Industrial_Estate,1682.6371681415928,BRISK
102,Industrial_Estate,2050.6814159292035,BRISK
103,Industrial_Estate,3059.7256637168143,BRISK
104,Industrial_Estate,1576.0442477876106,BRISK
105,Industrial_Estate,1210.6371681415928,BRISK
106,Industrial_Estate,1156.7345132743362,BRISK
107,Industrial_Estate,1102.0973451327434,BRISK
108,Industrial_Estate,388.6194690265487,BRISK
109,Industrial_Estate,515.9203539823009,BRISK
110,Industrial_Estate,532.3274336283185,BRISK
111,Industrial_Estate,155.41592920353983,BRISK
112,Industrial_Estate,869.2566371681415,BRISK
113,Industrial_Estate,176.99115044247787,ORB
114,Industrial_Estate,176.99115044247787,ORB
115,Industrial_Estate,176.99115044247787,ORB
116,Industrial_Estate,176.99115044247787,ORB
117,Industrial_Estate,176.99115044247787,ORB
118,Industrial_Estate,176.99115044247787,ORB
119,Industrial_Estate,176.99115044247787,ORB
120,Industrial_Estate,176.99115044247787,ORB
121,Industrial_Estate,176.99115044247787,ORB
122,Industrial_Estate,176.99115044247787,ORB
123,Industrial_Estate,176.99115044247787,ORB
124,Industrial_Estate,176.99115044247787,ORB
125,Industrial_Estate,176.99115044247787,ORB
126,Industrial_Estate,176.99115044247787,ORB
127,Industrial_Estate,176.99115044247787,ORB
128,Industrial_Estate,176.99115044247787,ORB
129,Industrial_Estate,176.99115044247787,ORB
130,Industrial_Estate,176.99115044247787,ORB
131,Industrial_Estate,176.99115044247787,ORB
132,Industrial_Estate,176.99115044247787,ORB
133,Industrial_Estate,176.99115044247787,ORB
134,Industrial_Estate,176.99115044247787,ORB
135,Industrial_Estate,176.99115044247787,ORB
136,Industrial_Estate,176.99115044247787,ORB
137,Industrial_Estate,176.99115044247787,ORB
138,Industrial_Estate,176.99115044247787,ORB
139,Industrial_Estate,176.99115044247787,ORB
140,Industrial_Estate,176.99115044247787,ORB
141,Industrial_Estate,176.99115044247787,ORB
142,Industrial_Estate,176.99115044247787,ORB
143,Industrial_Estate,176.99115044247787,ORB
144,Industrial_Estate,176.99115044247787,ORB
145,Industrial_Estate,176.99115044247787,ORB
146,Industrial_Estate,176.99115044247787,ORB
147,Industrial_Estate,176.99115044247787,ORB
148,Industrial_Estate,176.99115044247787,ORB
149,Industrial_Estate,176.99115044247787,ORB
150,Industrial_Estate,176.99115044247787,ORB
151,Industrial_Estate,176.99115044247787,ORB
152,Industrial_Estate,176.99115044247787,ORB
153,Industrial_Estate,176.99115044247787,ORB
154,Industrial_Estate,176.99115044247787,ORB
155,Industrial_Estate,176.99115044247787,ORB
156,Industrial_Estate,176.99115044247787,ORB
157,Industrial_Estate,176.99115044247787,ORB
158,Industrial_Estate,176.99115044247787,ORB
159,Industrial_Estate,176.99115044247787,ORB
160,Industrial_Estate,176.99115044247787,ORB
161,Industrial_Estate,176.99115044247787,ORB
162,Industrial_Estate,176.99115044247787,ORB
163,Industrial_Estate,176.99115044247787,ORB
164,Industrial_Estate,176.99115044247787,ORB
165,Industrial_Estate,176.99115044247787,ORB
166,Industrial_Estate,176.99115044247787,ORB
167,Industrial_Estate,176.99115044247787,ORB
168,Industrial_Estate,176.99115044247787,ORB
169,Industrial_Estate,176.99115044247787,ORB
170,Industrial_Estate,176.99115044247787,ORB
171,Industrial_Estate,176.99115044247787,ORB
172,Industrial_Estate,176.99115044247787,ORB
173,Industrial_Estate,176.99115044247787,ORB
174,Industrial_Estate,176.99115044247787,ORB
175,Industrial_Estate,176.99115044247787,ORB
176,Industrial_Estate,176.99115044247787,ORB
177,Industrial_Estate,176.99115044247787,ORB
178,Industrial_Estate,176.99115044247787,ORB
179,Industrial_Estate,176.99115044247787,ORB
180,Industrial_Estate,176.99115044247787,ORB
181,Industrial_Estate,176.99115044247787,ORB
182,Industrial_Estate,176.99115044247787,ORB
183,Industrial_Estate,176.99115044247787,ORB
184,Industrial_Estate,176.99115044247787,ORB
185,Industrial_Estate,176.99115044247787,ORB
186,Industrial_Estate,176.99115044247787,ORB
187,Industrial_Estate,176.99115044247787,ORB
188,Industrial_Estate,176.99115044247787,ORB
189,Industrial_Estate,176.99115044247787,ORB
190,Industrial_Estate,176.99115044247787,ORB
191,Industrial_Estate,176.99115044247787,ORB
192,Industrial_Estate,176.99115044247787,ORB
193,Industrial_Estate,176.99115044247787,ORB
194,Industrial_Estate,176.99115044247787,ORB
195,Industrial_Estate,176.99115044247787,ORB
196,Industrial_Estate,176.99115044247787,ORB
197,Industrial_Estate,176.99115044247787,ORB
198,Industrial_Estate,176.99115044247787,ORB
199,Industrial_Estate,176.99115044247787,ORB
200,Industrial_Estate,176.99115044247787,ORB
201,Industrial_Estate,176.99115044247787,ORB
202,Industrial_Estate,176.99115044247787,ORB
203,Industrial_Estate,176.99115044247787,ORB
204,Industrial_Estate,176.99115044247787,ORB
205,Industrial_Estate,176.99115044247787,ORB
