,Dataset,Number of Keypoints,Detector/Descriptor
0,Industrial_Estate,0.041104,SUPERPOINT
1,Industrial_Estate,0.037592,SUPERPOINT
2,Industrial_Estate,0.038224,SUPERPOINT
3,Industrial_Estate,0.037592,SUPERPOINT
4,Industrial_Estate,0.037368,SUPERPOINT
5,Industrial_Estate,0.040736,SUPERPOINT
6,Industrial_Estate,0.045023999999999995,SUPERPOINT
7,Industrial_Estate,0.039896,SUPERPOINT
8,Industrial_Estate,0.043808,SUPERPOINT
9,Industrial_Estate,0.041264,SUPERPOINT
10,Industrial_Estate,0.030448000000000003,SUPERPOINT
11,Industrial_Estate,0.026095999999999998,SUPERPOINT
12,Industrial_Estate,0.029304,SUPERPOINT
13,Industrial_Estate,0.031456,SUPERPOINT
14,Industrial_Estate,0.03272,SUPERPOINT
15,Industrial_Estate,0.03896,SUPERPOINT
16,Industrial_Estate,0.042312,SUPERPOINT
17,Industrial_Estate,0.049832,SUPERPOINT
18,Industrial_Estate,0.04971999999999999,SUPERPOINT
19,Industrial_Estate,0.031392,SUPERPOINT
20,Industrial_Estate,0.032928,SUPERPOINT
21,Industrial_Estate,0.037168,SUPERPOINT
22,Industrial_Estate,0.041552,SUPERPOINT
23,Industrial_Estate,0.041744,SUPERPOINT
24,Industrial_Estate,0.043272000000000005,SUPERPOINT
25,Industrial_Estate,0.033568,SUPERPOINT
26,Industrial_Estate,0.031376,SUPERPOINT
27,Industrial_Estate,0.045368000000000006,SUPERPOINT
28,Industrial_Estate,0.051752,SUPERPOINT
29,Industrial_Estate,0.04302400000000001,SUPERPOINT
30,Industrial_Estate,0.037152,SUPERPOINT
31,Industrial_Estate,0.039032,SUPERPOINT
32,Industrial_Estate,0.033936,SUPERPOINT
33,Industrial_Estate,0.022831999999999998,SUPERPOINT
34,Industrial_Estate,0.019704,SUPERPOINT
35,Industrial_Estate,0.01944,SUPERPOINT
36,Industrial_Estate,0.039904,SUPERPOINT
37,Industrial_Estate,0.04961600000000001,SUPERPOINT
38,Industrial_Estate,0.040032,SUPERPOINT
39,Industrial_Estate,0.037168,SUPERPOINT
40,Industrial_Estate,0.02528,SUPERPOINT
41,Industrial_Estate,0.024432,SUPERPOINT
42,Industrial_Estate,0.024112,SUPERPOINT
43,Industrial_Estate,0.040624,SUPERPOINT
44,Industrial_Estate,0.03804,SUPERPOINT
45,Industrial_Estate,0.031904,SUPERPOINT
46,Industrial_Estate,0.033864,SUPERPOINT
47,Industrial_Estate,0.03848,SUPERPOINT
48,Industrial_Estate,0.03444,SUPERPOINT
49,Industrial_Estate,0.032639999999999995,SUPERPOINT
50,Industrial_Estate,0.036072,
51,Industrial_Estate,0.037592,
52,Industrial_Estate,0.038224,
53,Industrial_Estate,0.037592,
54,Industrial_Estate,0.037368,
55,Industrial_Estate,0.040736,
56,Industrial_Estate,0.045023999999999995,
57,Industrial_Estate,0.039896,
58,Industrial_Estate,0.043808,
59,Industrial_Estate,0.041264,
60,Industrial_Estate,0.030448000000000003,
61,Industrial_Estate,0.026095999999999998,
62,Industrial_Estate,0.029304,
63,Industrial_Estate,0.031456,
64,Industrial_Estate,0.03272,
65,Industrial_Estate,0.03896,
66,Industrial_Estate,0.042312,
67,Industrial_Estate,0.049832,
68,Industrial_Estate,0.04971999999999999,
69,Industrial_Estate,0.031392,
70,Industrial_Estate,0.032928,
71,Industrial_Estate,0.037168,
72,Industrial_Estate,0.041552,
73,Industrial_Estate,0.041744,
74,Industrial_Estate,0.043272000000000005,
75,Industrial_Estate,0.033568,
76,Industrial_Estate,0.031376,
77,Industrial_Estate,0.045368000000000006,
78,Industrial_Estate,0.051752,
79,Industrial_Estate,0.04302400000000001,
80,Industrial_Estate,0.037152,
81,Industrial_Estate,0.039032,
82,Industrial_Estate,0.033936,
83,Industrial_Estate,0.022831999999999998,
84,Industrial_Estate,0.019704,
85,Industrial_Estate,0.01944,
86,Industrial_Estate,0.039904,
87,Industrial_Estate,0.04961600000000001,
88,Industrial_Estate,0.040032,
89,Industrial_Estate,0.037168,
90,Industrial_Estate,0.02528,
91,Industrial_Estate,0.024432,
92,Industrial_Estate,0.024112,
93,Industrial_Estate,0.040624,
94,Industrial_Estate,0.03804,
95,Industrial_Estate,0.031904,
96,Industrial_Estate,0.033864,
97,Industrial_Estate,0.03848,
98,Industrial_Estate,0.03444,
99,Industrial_Estate,0.032639999999999995,
100,Industrial_Estate,0.043351999999999995,
101,Industrial_Estate,0.038656,
102,Industrial_Estate,0.048760000000000005,
103,Industrial_Estate,0.05148,
104,Industrial_Estate,0.04705600000000001,
105,Industrial_Estate,0.044160000000000005,
106,Industrial_Estate,0.041104,
107,Industrial_Estate,0.037592,
108,Industrial_Estate,0.038224,
109,Industrial_Estate,0.037592,
110,Industrial_Estate,0.037368,
111,Industrial_Estate,0.040736,
112,Industrial_Estate,0.045023999999999995,
